C,P,max_ra,l1,l2,l3,l4
1,0.1,35154.89038851487,17,22,19,22
1,0.2,41369.59328422949,20,23,21,16
1,0.3,42182.86523178912,20,19,23,18
1,0.4,47331.55311685067,20,21,24,15
1,0.5,51279.11714243862,19,24,22,15
1,0.6,58196.505651562315,20,21,17,22
1,0.7,57974.135210738714,20,19,24,17
1,0.8,62145.84044888219,22,19,19,20
1,0.9,64427.4013412588,21,20,17,22
1,1.0,69018.3137345183,20,20,20,20
2,0.1,36699.0061980758,21,25,18,16
2,0.2,37984.12142035565,19,17,19,25
2,0.3,38727.420686297075,19,22,21,18
2,0.4,42850.425052641316,18,23,19,20
2,0.5,49252.96909009843,20,20,17,23
2,0.6,47383.311335976854,19,17,24,20
2,0.7,51784.52599480531,17,21,20,22
2,0.8,54379.324723484875,17,22,23,18
2,0.9,54827.163535577885,20,20,21,19
2,1.0,56405.74409678343,20,20,20,20
3,0.1,38047.55721498957,24,22,17,17
3,0.2,35596.5266804689,18,19,14,29
3,0.3,41073.15125392605,18,17,27,18
3,0.4,38723.14956999365,25,19,20,16
3,0.5,40485.52741724507,21,20,22,17
3,0.6,40900.74736712644,17,15,23,25
3,0.7,40379.85903255864,18,23,19,20
3,0.8,47694.618070075616,23,15,24,18
3,0.9,48213.2625174315,23,15,21,21
3,1.0,44901.062639440446,22,21,17,20
4,0.1,30652.72245790932,13,18,24,25
4,0.2,36312.56602122949,20,18,22,20
4,0.3,29364.03761609505,24,13,18,25
4,0.4,33738.58185444204,20,21,20,19
4,0.5,32964.99641675137,17,20,27,16
4,0.6,37506.054708436284,22,20,14,24
4,0.7,40865.630461426685,16,22,22,20
4,0.8,40590.177261561694,17,26,21,16
4,0.9,40913.82079555138,17,23,20,20
4,1.0,37641.46988970272,24,22,20,14
